,year,X,time.year.depth,date,time.category,depth.target..m.,group,common.name,genus.species,genus.species.updated,number,CPUE.m2.of.net,shrimp.cpue,avg.oni.previous.12.months,el.nino.la.nina
493,2015,378,evening_2015_50,15-16May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,19,1382.5,0.013743219,0.391666667,no signal
500,2015,385,evening_2015_70,15-16May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1330,0.018045113,0.391666667,no signal
501,2015,230,early morning_2015_70,15-16May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,96,1298.5,0.073931459,0.391666667,no signal
508,2015,226,early morning_2015_25,15-16May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1298.5,0.001540239,0.391666667,no signal
516,2015,225,early morning_2015_10,15-16May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1298.5,0.000770119,0.391666667,no signal
520,2015,65,afternoon_2015_50,15-16May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1305.5,0.00076599,0.391666667,no signal
522,2015,687,night_2015_70,15-16May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,97,1298.5,0.074701579,0.391666667,no signal
523,2016,689,night_2016_10,13-15May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,163,1288,0.126552795,1.866666667,El Nino
529,2016,237,early morning_2016_50,13-15May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,15,1288,0.011645963,1.866666667,El Nino
530,2016,74,afternoon_2016_25,13-15May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1347.5,0.00148423,1.866666667,El Nino
534,2016,236,early morning_2016_25,13-15May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,1.866666667,El Nino
537,2016,527,morning_2016_50,13-15May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,15,1302,0.011520737,1.866666667,El Nino
540,2016,390,evening_2016_50,13-15May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,120,1298.5,0.092414324,1.866666667,El Nino
541,2016,529,morning_2016_70,13-15May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,30,1473.5,0.020359688,1.866666667,El Nino
543,2016,695,night_2016_70,13-15May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1298.5,0.018482865,1.866666667,El Nino
546,2016,242,early morning_2016_70,13-15May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,55,1295,0.042471042,1.866666667,El Nino
548,2016,77,afternoon_2016_50,13-15May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,25,1309,0.019098549,1.866666667,El Nino
555,2016,694,night_2016_50,13-15May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,30,1298.5,0.023103581,1.866666667,El Nino
558,2016,524,morning_2016_10,13-15May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1291.5,0.001548587,1.866666667,El Nino
559,2016,392,evening_2016_70,13-15May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,11,1295,0.008494208,1.866666667,El Nino
561,2016,387,evening_2016_10,13-15May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1291.5,0.001548587,1.866666667,El Nino
563,2016,80,afternoon_2016_50,13-15May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,15,1309,0.011459129,1.866666667,El Nino
568,2016,388,evening_2016_25,13-15May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1298.5,0.000770119,1.866666667,El Nino
570,2016,692,night_2016_25,13-15May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,244,1298.5,0.187909126,1.866666667,El Nino
577,2016,525,morning_2016_25,13-15May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,1.866666667,El Nino
580,2017,395,evening_2017_10,12-14May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,5,1351,0.003700962,-0.283333333,no signal
589,2017,705,night_2017_50,12-14May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,10,1309,0.007639419,-0.283333333,no signal
592,2017,535,morning_2017_50,12-14May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1291.5,0.000774293,-0.283333333,no signal
593,2017,399,evening_2017_50,12-14May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1309,0.018334607,-0.283333333,no signal
597,2017,541,morning_2017_70,12-14May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,48,1295,0.037065637,-0.283333333,no signal
599,2017,89,afternoon_2017_50,12-14May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1302,0.002304147,-0.283333333,no signal
602,2017,701,night_2017_10,12-14May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,32,1361.5,0.023503489,-0.283333333,no signal
603,2017,533,morning_2017_10,12-14May,morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,4,1291.5,0.003097174,-0.283333333,no signal
607,2017,397,evening_2017_25,12-14May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1305.5,0.00229797,-0.283333333,no signal
608,2017,88,afternoon_2017_10,12-14May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,-0.283333333,no signal
610,2017,709,night_2017_70,12-14May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,49,1305.5,0.037533512,-0.283333333,no signal
611,2017,534,morning_2017_25,12-14May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1305.5,0.00076599,-0.283333333,no signal
614,2017,247,early morning_2017_25,12-14May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1302,0.000768049,-0.283333333,no signal
615,2017,702,night_2017_25,12-14May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,23,1323,0.017384732,-0.283333333,no signal
618,2017,401,evening_2017_70,12-14May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,31,1298.5,0.0238737,-0.283333333,no signal
627,2017,249,early morning_2017_50,12-14May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,11,1298.5,0.008471313,-0.283333333,no signal
629,2017,92,afternoon_2017_70,12-14May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,35,1309,0.026737968,-0.283333333,no signal
631,2017,253,early morning_2017_70,12-14May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,50,1298.5,0.038505968,-0.283333333,no signal
637,2018,105,afternoon_2018_70,11-13May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1295,0.018532819,-0.441666667,no signal
642,2018,412,evening_2018_70,11-13May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,59,1302,0.0453149,-0.441666667,no signal
644,2018,546,morning_2018_50,11-13May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,11,1305.5,0.00842589,-0.441666667,no signal
645,2018,715,night_2018_25,11-13May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,24,1295,0.018532819,-0.441666667,no signal
646,2018,260,early morning_2018_50,11-13May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,30,1291.5,0.023228804,-0.441666667,no signal
649,2018,100,afternoon_2018_25,11-13May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1284.5,0.000778513,-0.441666667,no signal
652,2018,724,night_2018_70,11-13May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,190,1302,0.145929339,-0.441666667,no signal
658,2018,103,afternoon_2018_50,11-13May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,10,1302,0.007680492,-0.441666667,no signal
660,2018,263,early morning_2018_70,11-13May,early morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,58,1295,0.044787645,-0.441666667,no signal
663,2018,550,morning_2018_50,11-13May,morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,63,1305.5,0.048257373,-0.441666667,no signal
665,2018,405,evening_2018_25,11-13May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1298.5,0.001540239,-0.441666667,no signal
666,2018,257,early morning_2018_10,11-13May,early morning,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.441666667,no signal
670,2018,99,afternoon_2018_10,11-13May,afternoon,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1305.5,0.00229797,-0.441666667,no signal
671,2018,258,early morning_2018_25,11-13May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.441666667,no signal
674,2018,404,evening_2018_10,11-13May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,-0.441666667,no signal
677,2018,415,evening_2018_70,11-13May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,44,1302,0.033794163,-0.441666667,no signal
682,2018,406,evening_2018_50,11-13May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,45,1295,0.034749035,-0.441666667,no signal
683,2018,720,night_2018_50,11-13May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,47,1295,0.036293436,-0.441666667,no signal
685,2018,545,morning_2018_25,11-13May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,-0.441666667,no signal
687,2019,727,night_2019_25,10-11May,night,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,120,1295,0.092664093,0.491666667,El Nino
692,2019,417,evening_2019_10,10-11May,evening,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,6,1295,0.004633205,0.491666667,El Nino
697,2019,735,night_2019_70,10-11May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.491666667,El Nino
701,2019,111,afternoon_2019_25,10-11May,afternoon,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.491666667,El Nino
705,2019,421,evening_2019_50,10-11May,evening,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,2,1295,0.001544402,0.491666667,El Nino
707,2019,267,early morning_2019_25,10-11May,early morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,59,1295,0.045559846,0.491666667,El Nino
709,2019,737,night_2019_70,10-11May,night,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,56,1295,0.043243243,0.491666667,El Nino
714,2019,554,morning_2019_25,10-11May,morning,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,17,1295,0.013127413,0.491666667,El Nino
715,2019,725,night_2019_10,10-11May,night,10,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,100,1295,0.077220077,0.491666667,El Nino
718,2019,419,evening_2019_25,10-11May,evening,25,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,39,1295,0.03011583,0.491666667,El Nino
720,2019,423,evening_2019_70,10-11May,evening,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,27,1295,0.020849421,0.491666667,El Nino
724,2019,731,night_2019_50,10-11May,night,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,100,1295,0.077220077,0.491666667,El Nino
726,2019,270,early morning_2019_50,10-11May,early morning,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,1,1295,0.000772201,0.491666667,El Nino
729,2019,562,morning_2019_70,10-11May,morning,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,29,1295,0.022393822,0.491666667,El Nino
735,2019,113,afternoon_2019_50,10-11May,afternoon,50,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,33,1295,0.025482625,0.491666667,El Nino
736,2019,120,afternoon_2019_70,10-11May,afternoon,70,shrimp,crangon shrimp,Crangon alaskensis,Crangon alaskensis,3,1295,0.002316602,0.491666667,El Nino
64,2001,135,early morning_2001_70,11-12May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,2,1295,0.001544402,-0.566666667,La Nina
77,2002,144,early morning_2002_70,17-18May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,7,1295,0.005405405,-0.125,no signal
83,2002,442,morning_2002_70,17-18May,morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,5,1295,0.003861004,-0.125,no signal
94,2003,149,early morning_2003_70,16-17May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,35,1295,0.027027027,0.775,El Nino
106,2003,445,morning_2003_70,16-17May,morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,29,1295,0.022393822,0.775,El Nino
124,2004,594,night_2004_70,14-15May,night,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,8,1295,0.006177606,0.191666667,no signal
256,2010,179,early morning_2010_70,14-15May,early morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,19,1295,0.014671815,0.833333333,El Nino
265,2010,634,night_2010_70,14-15May,night,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,15,1312.5,0.011428571,0.833333333,El Nino
280,2010,473,morning_2010_70,14-15May,morning,70,shrimp,doll eualid shrimp,Eualus pusiolus,Eualus pusiolus,28,1400,0.02,0.833333333,El Nino
578,2017,537,morning_2017_70,12-14May,morning,70,shrimp,broken back shrimp,Eualus suckleyi,Eualus suckleyi,1,1295,0.000772201,-0.283333333,no signal
654,2018,107,afternoon_2018_70,11-13May,afternoon,70,shrimp,broken back shrimp,Eualus suckleyi,Eualus suckleyi,5,1295,0.003861004,-0.441666667,no signal
662,2018,553,morning_2018_50,11-13May,morning,50,shrimp,Townsend's eualid,Eualus townsendi,Eualus townsendi,1,1305.5,0.00076599,-0.441666667,no signal
28,2000,281,evening_2000_70,12-13May,evening,70,shrimp,broken back shrimp,Heptacarpus spp.,Heptacarpus spp.,1,1295,0.000772201,-1.241666667,La Nina
565,2016,693,night_2016_50,13-15May,night,50,shrimp,cleaner shrimp,Hippolytidae,Hippolytidae,4,1298.5,0.003080477,1.866666667,El Nino
575,2016,691,night_2016_25,13-15May,night,25,shrimp,cleaner shrimp,Hippolytidae,Hippolytidae,43,1298.5,0.033115133,1.866666667,El Nino
673,2018,416,evening_2018_70,11-13May,evening,70,shrimp,mysid,Mysida,Mysida,11,1302,0.008448541,-0.441666667,no signal
478,2015,674,night_2015_10,15-16May,night,10,shrimp,ghost shrimp,Neotrypaea californiensis,Neotrypaea californiensis,2,1305.5,0.00153198,0.391666667,no signal
486,2015,677,night_2015_25,15-16May,night,25,shrimp,ghost shrimp,Neotrypaea californiensis,Neotrypaea californiensis,1,1291.5,0.000774293,0.391666667,no signal
609,2017,708,night_2017_70,12-14May,night,70,shrimp,ghost shrimp,Neotrypaea californiensis,Neotrypaea californiensis,1,1305.5,0.00076599,-0.283333333,no signal
212,2008,23,afternoon_2008_70,16-17May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,6,1295,0.004633205,-1.1,La Nina
224,2009,174,early morning_2009_70,15-16May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,42,1295,0.032432432,-0.533333333,La Nina
241,2009,625,night_2009_70,15-16May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1295,0.000772201,-0.533333333,La Nina
259,2010,181,early morning_2010_70,14-15May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,39,1295,0.03011583,0.833333333,El Nino
266,2010,470,morning_2010_50,14-15May,morning,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1295,0.000772201,0.833333333,El Nino
268,2010,468,morning_2010_25,14-15May,morning,25,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1295,0.000772201,0.833333333,El Nino
308,2012,191,early morning_2012_50,11-12May,early morning,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,2,1302,0.001536098,-0.725,La Nina
320,2012,495,morning_2012_70,11-12May,morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,4,1295,0.003088803,-0.725,La Nina
323,2012,45,afternoon_2012_70,11-12May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,12,1305.5,0.009191881,-0.725,La Nina
334,2012,199,early morning_2012_70,11-12May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,9,1330,0.006766917,-0.725,La Nina
337,2012,487,morning_2012_50,11-12May,morning,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,5,1295,0.003861004,-0.725,La Nina
344,2012,349,evening_2012_70,11-12May,evening,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,14,1298.5,0.010781671,-0.725,La Nina
346,2012,638,night_2012_50,11-12May,night,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1309,0.000763942,-0.725,La Nina
355,2012,41,afternoon_2012_50,11-12May,afternoon,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,7,1312.5,0.005333333,-0.725,La Nina
359,2013,54,afternoon_2013_70,17-18May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,75,1298.5,0.057758953,-0.041666667,no signal
362,2013,363,evening_2013_70,17-18May,evening,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,22,1298.5,0.016942626,-0.041666667,no signal
366,2013,658,night_2013_70,17-18May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,182,NA,NA,-0.041666667,no signal
370,2013,213,early morning_2013_70,17-18May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,27,NA,NA,-0.041666667,no signal
409,2013,503,morning_2013_70,17-18May,morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,75,NA,NA,-0.041666667,no signal
428,2014,219,early morning_2014_70,16-17May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,21,1309,0.016042781,-0.308333333,no signal
436,2014,668,night_2014_70,16-17May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,22,1295,0.016988417,-0.308333333,no signal
438,2014,371,evening_2014_70,16-17May,evening,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,29,1295,0.022393822,-0.308333333,no signal
441,2014,61,afternoon_2014_70,16-17May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,36,1347.5,0.026716141,-0.308333333,no signal
451,2014,508,morning_2014_70,16-17May,morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,44,1298.5,0.033885252,-0.308333333,no signal
461,2014,662,night_2014_25,16-17May,night,25,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,2,1298.5,0.001540239,-0.308333333,no signal
462,2014,370,evening_2014_50,16-17May,evening,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1883,0.000531067,-0.308333333,no signal
468,2015,69,afternoon_2015_70,15-16May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,27,1316,0.020516717,0.391666667,no signal
470,2015,679,night_2015_50,15-16May,night,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,2,1295,0.001544402,0.391666667,no signal
499,2015,684,night_2015_70,15-16May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,19,1298.5,0.014632268,0.391666667,no signal
506,2015,380,evening_2015_70,15-16May,evening,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,19,1330,0.014285714,0.391666667,no signal
509,2015,522,morning_2015_70,15-16May,morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,30,1295,0.023166023,0.391666667,no signal
515,2015,231,early morning_2015_70,15-16May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,14,1298.5,0.010781671,0.391666667,no signal
525,2016,238,early morning_2016_50,13-15May,early morning,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,36,1288,0.027950311,1.866666667,El Nino
542,2016,235,early morning_2016_25,13-15May,early morning,25,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,2,1295,0.001544402,1.866666667,El Nino
550,2016,245,early morning_2016_70,13-15May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,136,1295,0.105019305,1.866666667,El Nino
557,2016,699,night_2016_70,13-15May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,15,1298.5,0.011551791,1.866666667,El Nino
572,2016,85,afternoon_2016_50,13-15May,afternoon,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,45,1309,0.034377387,1.866666667,El Nino
579,2017,712,night_2017_70,12-14May,night,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,11,1305.5,0.00842589,-0.283333333,no signal
604,2017,96,afternoon_2017_70,12-14May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,16,1309,0.012223071,-0.283333333,no signal
605,2017,254,early morning_2017_70,12-14May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,10,1298.5,0.007701194,-0.283333333,no signal
628,2017,707,night_2017_50,12-14May,night,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,19,1309,0.014514897,-0.283333333,no signal
638,2018,106,afternoon_2018_70,11-13May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,11,1295,0.008494208,-0.441666667,no signal
657,2018,264,early morning_2018_70,11-13May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,7,1295,0.005405405,-0.441666667,no signal
661,2018,411,evening_2018_70,11-13May,evening,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,11,1302,0.008448541,-0.441666667,no signal
684,2018,549,morning_2018_50,11-13May,morning,50,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,14,1305.5,0.010723861,-0.441666667,no signal
700,2019,273,early morning_2019_70,10-11May,early morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,1,1295,0.000772201,0.491666667,El Nino
727,2019,118,afternoon_2019_70,10-11May,afternoon,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,17,1295,0.013127413,0.491666667,El Nino
733,2019,561,morning_2019_70,10-11May,morning,70,shrimp,sidestripe shrimp,Pandalopsis dispar,Pandalopsis dispar,30,1295,0.023166023,0.491666667,El Nino
144,2006,163,early morning_2006_70,12-13May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,16,1295,0.012355212,-0.358333333,no signal
152,2006,605,night_2006_70,12-13May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,5,1295,0.003861004,-0.358333333,no signal
155,2006,18,afternoon_2006_70,12-13May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,67,1295,0.051737452,-0.358333333,no signal
162,2006,458,morning_2006_70,12-13May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.358333333,no signal
166,2006,305,evening_2006_70,12-13May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,1,1295,0.000772201,-0.358333333,no signal
168,2006,307,evening_2006_70,12-13May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,7,1295,0.005405405,-0.358333333,no signal
182,2007,316,evening_2007_70,11-12May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,11,1295,0.008494208,0.325,no signal
194,2007,19,afternoon_2007_70,11-12May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,45,1295,0.034749035,0.325,no signal
196,2007,611,night_2007_70,11-12May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,25,1295,0.019305019,0.325,no signal
198,2008,25,afternoon_2008_70,16-17May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,65,1295,0.05019305,-1.1,La Nina
201,2008,620,night_2008_70,16-17May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,57,1295,0.044015444,-1.1,La Nina
205,2008,318,evening_2008_70,16-17May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,34,1295,0.026254826,-1.1,La Nina
207,2008,170,early morning_2008_70,16-17May,early morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,51,1295,0.039382239,-1.1,La Nina
211,2008,460,morning_2008_70,16-17May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,15,1295,0.011583012,-1.1,La Nina
220,2009,29,afternoon_2009_70,15-16May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,55,1295,0.042471042,-0.533333333,La Nina
227,2009,324,evening_2009_70,15-16May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,6,1295,0.004633205,-0.533333333,La Nina
235,2009,464,morning_2009_70,15-16May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,60,1295,0.046332046,-0.533333333,La Nina
246,2010,36,afternoon_2010_70,14-15May,afternoon,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,93,1295,0.071814672,0.833333333,El Nino
267,2010,632,night_2010_70,14-15May,night,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,21,1312.5,0.016,0.833333333,El Nino
269,2010,475,morning_2010_70,14-15May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,92,1400,0.065714286,0.833333333,El Nino
294,2011,481,morning_2011_70,13-14May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,11,1687,0.006520451,-1.15,La Nina
314,2012,351,evening_2012_70,11-12May,evening,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,32,1298.5,0.02464382,-0.725,La Nina
318,2012,493,morning_2012_70,11-12May,morning,70,shrimp,Alaskan pink shrimp,Pandalus borealis,Pandalus eous,39,1295,0.03011583,-0.725,La Nina
