station name,date,time,time category,depth (m),tide (m),depth (MLLW) (m),depth target,wire out (m),Latitude,Longitude,trawl distance (m),net opening(m)
Station No. 3.5,2011-05-14,12:00:00 AM,morning,56,1.18,54.82,50,900,47 43.234,122 31.725,372,3.5
Station No. 4.5,2011-05-14,12:00:00 AM,morning,71,1.52,69.48,70,1200,47 43.278,122 31.307,482,3.5
Station No. 1.1,2012-05-11,12:00:00 AM,afternoon,10,-0.11,10.11,10,240,47 44.227,122 32.815,380,3.5
Station No. 2.1,2012-05-11,12:00:00 AM,afternoon,23,-0.15,23.15,25,500,47 44.136,122 32.717,372,3.5
Station No. 3.1,2012-05-11,12:00:00 AM,afternoon,49,-0.17,49.17,50,900,47 43.264,122 31.732,375,3.5
Station No. 4.1,2012-05-11,12:00:00 AM,afternoon,70,-0.12,70.12,70,1200,47 43.258,122 31.287,373,3.5
Station No. 1.2,2012-05-11,1:40:48 AM,evening,13,2.25,10.75,10,290,47 44.192,122 32.817,370,3.5
Station No. 2.2,2012-05-11,5:16:48 AM,evening,26,2.43,23.57,25,500,47 44.090,122 32.709,372,3.5
Station No. 3.2,2012-05-11,10:48:00 AM,evening,54,2.68,51.32,50,900,47 43.250,122 31.734,370,3.5
Station No. 4.2,2012-05-11,4:04:48 AM,evening,72,2.98,69.02,70,1200,47 43.265,122 31.296,371,3.5
Station No. 1.3,2012-05-12,2:24:00 AM,night,13,3.15,9.85,10,300,47 44.213,122 32.821,371,3.5
Station No. 2.3,2012-05-12,6:57:36 AM,night,26,3.04,22.96,25,500,47 43.960,122 32.734,370,3.5
Station No. 3.3,2012-05-12,1:40:48 PM,night,53,2.82,50.18,50,900,47 43.384,122 31.753,374,3.5
Station No. 4.3,2012-05-12,6:43:12 AM,night,74,2.56,71.44,70,1200,47 43.281,122 31.297,372,3.5
Station No. 1.4,2012-05-12,5:16:48 AM,early morning,12,1.68,10.32,10,300,47 44.169,122 32.820,371,3.5
Station No. 2.4,2012-05-12,9:21:36 AM,early morning,26,1.72,24.28,25,500,47 44.062,122 32.704,372,3.5
Station No. 3.4,2012-05-12,1:12:00 AM,early morning,52,1.8,50.2,50,900,47 43.240,122 31.745,372,3.5
Station No. 4.4,2012-05-12,8:52:48 AM,early morning,72,1.92,70.08,70,1200,47 43.277,122 31.287,380,3.5
Station No. 1.5,2012-05-12,2:24:00 AM,morning,12,2.45,9.55,10,300,47 44.162,122 32.827,373,3.5
Station No. 2.5,2012-05-12,6:43:12 AM,morning,26,2.39,23.61,25,500,47 44.123,122 32.712,371,3.5
Station No. 3.5,2012-05-12,12:00:00 PM,morning,55,2.3,52.7,50,900,47 43.255,122 31.724,370,3.5
Station No. 4.5,2012-05-12,4:33:36 AM,morning,72,2.14,69.86,70,1200,47 43.263,122 31.277,370,3.5
Station No. 1.1,2013-05-17,12:00:00 AM,afternoon,12,0.73,11.27,10,260,47 44.204,122 32.815,375,3.5
Station No. 2.1,2013-05-17,12:00:00 AM,afternoon,23,0.65,22.35,25,500,47 44.186,122 32.704,371,3.5
Station No. 3.1,2013-05-17,12:00:00 AM,afternoon,52,0.57,51.43,50,900,47 43.328,122 31.730,370,3.5
Station No. 4.1,2013-05-17,12:00:00 AM,afternoon,71,0.52,70.48,70,1200,47 43.278,122 31.305,371,3.5
Station No. 1.2,2013-05-17,NA,evening,12,1.95,10.05,10,280,NA,NA,376,3.5
Station No. 2.2,2013-05-17,12:00:00 AM,evening,26,2.1,23.9,25,500,47 44.182,122 32.699,371,3.5
Station No. 3.2,2013-05-17,12:00:00 AM,evening,52,2.31,49.69,50,900,47 43.266,122 31.743,370,3.5
Station No. 4.2,2013-05-17,12:00:00 AM,evening,72,2.55,69.45,70,1200,47 43.272,122 31.298,371,3.5
Station No. 1.1,2014-05-16,12:00:00 AM,afternoon,10,0.45,9.55,10,250,47 44.203,122 32.825,375,3.5
Station No. 2.1,2014-05-16,12:00:00 AM,afternoon,25,0.74,24.26,25,500,47 44.123,122 32.708,370,3.5
Station No. 3.1,2014-05-16,12:00:00 AM,afternoon,51,1.13,49.87,50,900,47 43.314,122 31.738,371,3.5
Station No. 4.1,2014-05-16,12:00:00 AM,afternoon,72,1.9,70.1,70,1200,47 43.270,122 31.303,385,3.5
Station No. 1.2,2014-05-16,12:00:00 AM,evening,14,3.6,10.4,10,300,47 44.145,122 32.816,374,3.5
Station No. 2.2,2014-05-16,12:00:00 AM,evening,28,3.56,24.44,25,500,47 44.020,122 32.703,370,3.5
Station No. 3.2,2014-05-16,12:00:00 AM,evening,54,3.48,50.52,50,900,47 43.267,122 31.733,538,3.5
Station No. 4.2,2014-05-16,12:00:00 AM,evening,75,3.33,71.67,70,1200,47 43.298,122 31.287,370,3.5
Station No. 1.3,2014-05-17,12:00:00 AM,night,12,1.92,10.08,10,300,47 44.149,122 32.825,370,3.5
Station No. 2.3,2014-05-17,12:00:00 AM,night,27,1.91,25.09,25,500,47 44.095,122 32.712,371,3.5
Station No. 3.3,2014-05-17,12:00:00 AM,night,50,1.95,48.05,50,900,47 43.310,122 31.760,369,3.5
Station No. 4.3,2014-05-17,12:00:00 AM,night,73,2.04,70.96,70,1200,47 43.292,122 31.304,370,3.5
Station No. 1.4,2014-05-17,12:00:00 AM,early morning,14,3.21,10.79,10,300,47 44.190,122 32.818,380,3.5
Station No. 2.4,2014-05-17,12:00:00 AM,early morning,28,3.23,24.77,25,500,47 44.088,122 32.707,372,3.5
Station No. 3.4,2014-05-17,12:00:00 AM,early morning,51,3.22,47.78,50,900,47 43.322,122 31.761,372,3.5
Station No. 4.4,2014-05-17,12:00:00 AM,early morning,74,3.15,70.85,70,1200,47 43.283,122 31.279,374,3.5
Station No. 1.5,2014-05-17,12:00:00 AM,morning,11,0.32,10.68,10,300,47 44.186,122 32.820,370,3.5
Station No. 2.5,2014-05-17,12:00:00 AM,morning,23,0.06,22.94,25,500,47 44.099,122 32.723,372,3.5
Station No. 3.5,2014-05-17,12:00:00 AM,morning,50,-0.24,50.24,50,900,47 43.261,122 31.725,370,3.5
Station No. 4.5,2014-05-17,12:00:00 AM,morning,71,-0.52,71.52,70,1200,47 43.304,122 31.305,371,3.5
Station No. 1.1,2015-05-15,12:00:00 AM,afternoon,13.5,2.87,10.63,10,250,47 44.184,122 32.819,378,3.5
Station No. 2.1,2015-05-15,12:00:00 AM,afternoon,26,2.92,23.08,25,500,47 44.102,122 32.714,371,3.5
Station No. 3.1,2015-05-15,12:00:00 AM,afternoon,50,3.01,46.99,50,900,47 43.324,122 31.758,373,3.5
Station No. 4.1,2015-05-15,12:00:00 AM,afternoon,72,3.02,68.98,70,1200,47 43.283,122 31.303,376,3.5
Station No. 1.2,2015-05-15,12:00:00 AM,evening,13,1.51,11.49,10,300,47 44.200,122 32.815,370,3.5
Station No. 2.2,2015-05-15,12:00:00 AM,evening,26,1.42,24.58,25,500,47 44.090,122 32.701,371,3.5
Station No. 3.2,2015-05-15,12:00:00 AM,evening,51,1.28,49.72,50,900,47 43.293,122 31.732,395,3.5
Station No. 4.2,2015-05-15,12:00:00 AM,evening,71,1.2,69.8,70,1200,47 43.328,122 31.318,380,3.5
Station No. 1.3,2015-05-16,12:00:00 AM,night,13,2.84,10.16,10,300,47 44.179,122 32.822,373,3.5
Station No. 2.3,2015-05-16,12:00:00 AM,night,27,2.99,24.01,25,500,47 44.094,122 32.709,369,3.5
Station No. 3.3,2015-05-16,12:00:00 AM,night,52,3.26,48.74,50,900,47 43.272,122 31.736,370,3.5
Station No. 4.3,2015-05-16,12:00:00 AM,night,72,3.48,68.52,70,1200,47 43.282,122 31.296,371,3.5
Station No. 1.4,2015-05-17,12:00:00 AM,early morning,13,2.92,10.08,10,300,47 44.189,122 32.822,371,3.5
Station No. 2.4,2015-05-17,12:00:00 AM,early morning,27,2.72,24.28,25,500,47 44.098,122 32.708,371,3.5
Station No. 3.4,2015-05-17,12:00:00 AM,early morning,56,2.44,53.56,50,900,47 43.219,122 31.722,370,3.5
Station No. 4.4,2015-05-17,12:00:00 AM,early morning,73,2.02,70.98,70,1200,47 43.361,122 31.308,371,3.5
Station No. 1.5,2015-05-17,12:00:00 AM,morning,9.6,-0.56,10.16,10,300,47 44.248,122 32.823,371,3.5
Station No. 2.5,2015-05-17,12:00:00 AM,morning,25,-0.52,25.52,25,500,47 44.060,122 32.700,382,3.5
Station No. 3.5,2015-05-17,12:00:00 AM,morning,50,-0.41,50.41,50,900,47 43.278,122 31.734,372,3.5
Station No. 4.5,2015-05-17,12:00:00 AM,morning,70,-0.19,70.19,70,1200,47 43.300,122 31.309,370,3.5
Station No. 1.1,2016-05-13,12:00:00 AM,afternoon,11,0.89,10.11,10,250,47 44.218,122 32.825,375,3.5
Station No. 2.1,2016-05-13,12:00:00 AM,afternoon,25,0.75,24.25,25,500,47 44.107,122 32.713,385,3.5
Station No. 3.1,2016-05-13,12:00:00 AM,afternoon,54,0.54,53.46,50,900,47 43.220,122 31.721,374,3.5
Station No. 4.1,2016-05-13,12:00:00 AM,afternoon,69,0.38,68.62,70,1200,47 43.263,122 31.311,374,3.5
Station No. 1.2,2016-05-13,12:00:00 AM,evening,12,1.5,10.5,10,300,47 44.183,122 32.818,369,3.5
Station No. 2.2,2016-05-13,12:00:00 AM,evening,26,1.67,24.33,25,500,47 44.106,122 32.713,371,3.5
Station No. 3.2,2016-05-13,12:00:00 AM,evening,52,1.92,50.08,50,900,47 43.251,122 31.735,371,3.5
Station No. 4.2,2016-05-13,12:00:00 AM,evening,73,2.19,70.81,70,1200,47 43.276,122 31.302,370,3.5
Station No. 1.3,2016-05-14,12:00:00 AM,night,13,3.37,9.63,10,300,47 44.138,122 32.831,368,3.5
Station No. 2.3,2016-05-14,12:00:00 AM,night,28,3.32,24.68,25,500,47 44.101,122 32.704,371,3.5
Station No. 3.3,2016-05-14,12:00:00 AM,night,54,3.22,50.78,50,900,47 43.284,122 31.735,371,3.5
Station No. 4.3,2016-05-14,12:00:00 AM,night,73,3.02,69.98,70,1200,47 43.279,122 31.294,371,3.5
Station No. 1.4,2016-05-15,12:00:00 AM,early morning,13,1.63,11.37,10,300,47 44.183,122 32.815,370,3.5
Station No. 2.4,2016-05-15,12:00:00 AM,early morning,26,1.49,24.51,25,500,47 44.101,122 32.700,370,3.5
Station No. 3.4,2016-05-15,12:00:00 AM,early morning,54,1.35,52.65,50,900,47 43.241,122 31.732,368,3.5
Station No. 4.4,2016-05-15,12:00:00 AM,early morning,70,1.21,68.79,70,1200,47 43.273,122 31.321,370,3.5
Station No. 1.5,2016-05-15,12:00:00 AM,morning,12,1.84,10.16,10,300,47 44.181,122 32.832,369,3.5
Station No. 2.5,2016-05-15,12:00:00 AM,morning,26,1.93,24.07,25,500,47 44.068,122 32.708,370,3.5
Station No. 3.5,2016-05-15,12:00:00 AM,morning,52,2.06,49.94,50,900,47 43.259,122 31.733,372,3.5
Station No. 4.5,2016-05-15,12:00:00 AM,morning,70,2.18,67.82,70,1200,47 43.257,122 31.313,421,3.5
Station No. 1.1,2017-05-12,12:00:00 AM,afternoon,10,0.86,9.14,10,260,47 44.224,122 32.832,370,3.5
Station No. 2.1,2017-05-12,12:00:00 AM,afternoon,25,1.08,23.92,25,500,47 44.098,122 32.718,372,3.5
Station No. 3.1,2017-05-12,12:00:00 AM,afternoon,50,1.42,48.58,50,900,47 43.271,122 31.754,372,3.5
Station No. 4.1,2017-05-12,12:00:00 AM,afternoon,71,1.98,69.02,70,1200,47 43.261,122 31.301,374,3.5
Station No. 1.2,2017-05-12,12:00:00 AM,evening,13,3.37,9.63,10,300,47 44.223,122 32.820,386,3.5
Station No. 2.2,2017-05-12,12:00:00 AM,evening,27,3.34,23.66,25,500,47 44.152,122 32.692,373,3.5
Station No. 3.2,2017-05-12,12:00:00 AM,evening,48,3.25,44.75,50,900,47 43.278,122 31.768,374,3.5
Station No. 4.2,2017-05-12,12:00:00 AM,evening,73,3.11,69.89,70,1200,47 43.300,122 31.303,371,3.5
Station No. 1.3,2017-05-13,12:00:00 AM,night,12,1.91,10.09,10,280,47 44.146,122 32.823,389,3.5
Station No. 2.3,2017-05-13,12:00:00 AM,night,26,1.9,24.1,25,500,47 44.077,122 32.707,378,3.5
Station No. 3.3,2017-05-13,12:00:00 AM,night,50,1.94,48.06,50,900,47 43.296,122 31.753,374,3.5
Station No. 4.3,2017-05-13,12:00:00 AM,night,73,2.02,70.98,70,1200,47 43.277,122 31.295,373,3.5
Station No. 1.4,2017-05-14,12:00:00 AM,early morning,13,2.78,10.22,10,300,47 44.166,122 32.822,370,3.5
Station No. 2.4,2017-05-14,12:00:00 AM,early morning,27,2.82,24.18,25,500,47 44.139,122 32.702,372,3.5
Station No. 3.4,2017-05-14,12:00:00 AM,early morning,51,2.86,48.14,50,900,47 43.277,122 31.743,371,3.5
Station No. 4.4,2017-05-14,12:00:00 AM,early morning,73,2.86,70.14,70,1200,47 43.324,122 31.315,371,3.5
Station No. 1.5,2017-05-14,12:00:00 AM,morning,11,0.93,10.07,10,260,47 44.200,122 32.830,369,3.5
Station No. 2.5,2017-05-14,12:00:00 AM,morning,24,0.74,23.26,25,500,47 44.094,122 32.716,373,3.5
Station No. 3.5,2017-05-14,12:00:00 AM,morning,49,0.41,48.59,50,900,47 43.277,122 31.754,369,3.5
Station No. 4.5,2017-05-14,12:00:00 AM,morning,70,0.14,69.86,70,1200,47 43.281,122 31.299,370,3.5
Station No. 1.1,2018-05-11,NA,afternoon,12,2.55,NA,10,260,NA,NA,373,3.5
Station No. 2.1,2018-05-11,12:00:00 AM,afternoon,26,2.54,23.46,25,500,47 44.081,122 32.721,367,3.5
Station No. 3.1,2018-05-11,12:00:00 AM,afternoon,49,2.52,46.48,50,900,47 43.324,122 31.760,372,3.5
Station No. 4.1,2018-05-11,12:00:00 AM,afternoon,72,2.4,69.6,70,1200,47 43.341,122 31.324,370,3.5
Station No. 1.2,2018-05-11,12:00:00 AM,evening,11,1.09,9.91,10,300,47 44.202,122 32.825,370,3.5
Station No. 2.2,2018-05-11,12:00:00 AM,evening,25,1.04,23.96,25,500,47 44.036,122 32.716,371,3.5
Station No. 3.2,2018-05-11,12:00:00 AM,evening,50,1.02,48.98,50,900,47 43.310,122 31.752,370,3.5
Station No. 4.2,2018-05-11,12:00:00 AM,evening,69,1.05,67.95,70,1200,47 43.239,122 31.291,372,3.5
Station No. 1.3,2018-05-12,12:00:00 AM,night,12,2.74,9.26,10,280,47 44.147,122 32.830,369,3.5
Station No. 2.3,2018-05-12,12:00:00 AM,night,26,2.89,23.11,25,500,47 44.047,122 32.722,370,3.5
Station No. 3.3,2018-05-12,12:00:00 AM,night,53,3.07,49.93,50,900,47 43.258,122 31.728,370,3.5
Station No. 4.3,2018-05-12,12:00:00 AM,night,75,3.22,71.78,70,1200,47 43.285,122 31.285,372,3.5
Station No. 1.4,2018-05-13,12:00:00 AM,early morning,13,2.59,10.41,10,300,47 44.216,122 32.820,370,3.5
Station No. 2.4,2018-05-13,12:00:00 AM,early morning,26,2.37,23.63,25,500,47 44.079,122 32.715,370,3.5
Station No. 3.4,2018-05-13,12:00:00 AM,early morning,51,2.08,48.92,50,900,47 43.280,122 31.742,369,3.5
Station No. 4.4,2018-05-13,12:00:00 AM,early morning,71,1.76,69.24,70,1200,47 43.260,122 31.315,370,3.5
Station No. 1.5,2018-05-13,12:00:00 AM,morning,11,0.26,10.74,10,260,47 44.183,122 32.820,371,3.5
Station No. 2.5,2018-05-13,12:00:00 AM,morning,24,0.35,23.65,25,500,47 44.082,122 32.720,370,3.5
Station No. 3.5,2018-05-13,12:00:00 AM,morning,51,0.5,50.5,50,900,47 43.272,122 31.749,373,3.5
Station No. 4.5,2018-05-13,12:00:00 AM,morning,70,0.74,69.26,70,1200,47 43.300,122 31.319,371,3.5
Station No. 1.1,2019-05-10,,afternoon,,,,10,100,47.735633,-122.5472,370,3.5
Station No. 2.1,2019-05-10,,afternoon,,,,25,175,47.735033,-122.5473,370,3.5
Station No. 3.1,2019-05-10,,afternoon,,,,50,300,47.726283,-122.529667,370,3.5
Station No. 4.1,2019-05-10,,afternoon,,,,70,400,47.72605,-122.522117,370,3.5
Station No. 1.2,2019-05-10,,evening,,,,10,100,47.735633,-122.5472,370,3.5
Station No. 2.2,2019-05-10,,evening,,,,25,175,47.735033,-122.5473,370,3.5
Station No. 3.2,2019-05-13,,evening,,,,50,300,47.726283,-122.529667,370,3.5
Station No. 4.2,2019-05-10,,evening,,,,70,400,47.72605,-122.522117,370,3.5
Station No. 1.3,2019-05-11,,night,,,,10,100,47.735633,-122.5472,370,3.5
Station No. 2.3,2019-05-11,,night,,,,25,175,47.735033,-122.5473,370,3.5
Station No. 3.3,2019-05-11,,night,,,,50,300,47.726283,-122.529667,370,3.5
Station No. 4.3,2019-05-11,,night,,,,70,400,47.72605,-122.522117,370,3.5
Station No. 1.4,2019-05-11,,early morning,,,,10,100,47.735633,-122.5472,370,3.5
Station No. 2.4,2019-05-11,,early morning,,,,25,175,47.735033,-122.5473,370,3.5
Station No. 3.4,2019-05-11,,early morning,,,,50,300,47.726283,-122.529667,370,3.5
Station No. 4.4,2019-05-11,,early morning,,,,70,400,47.72605,-122.522117,370,3.5
Station No. 1.5,2019-05-11,,morning,,,,10,100,47.735633,-122.5472,370,3.5
Station No. 2.5,2019-05-11,,morning,,,,25,175,47.735033,-122.5473,370,3.5
Station No. 3.5,2019-05-11,,morning,,,,50,300,47.726283,-122.529667,370,3.5
Station No. 4.5,2019-05-11,,morning,,,,70,400,47.72605,-122.522117,370,3.5
